gene,drugGene,value
PIK3CG,STREPTOZOCIN,20.0
JAK2,STREPTOZOCIN,20.0
LCK,STREPTOZOCIN,20.0
TUBA3C,STREPTOZOCIN,24.0
NRAS,STREPTOZOCIN,24.0
MTOR,STREPTOZOCIN,24.0
TUBB4A,STREPTOZOCIN,24.0
LYN,STREPTOZOCIN,28.0
HRAS,STREPTOZOCIN,32.0
UGT1A1,STREPTOZOCIN,32.0
TUBA3E,STREPTOZOCIN,32.0
TUBA3D,STREPTOZOCIN,32.0
TUBA1C,STREPTOZOCIN,32.0
TUBA1B,STREPTOZOCIN,32.0
TUBA1A,STREPTOZOCIN,32.0
SRC,STREPTOZOCIN,32.0
TUBB8,STREPTOZOCIN,32.0
TUBB6,STREPTOZOCIN,32.0
TUBA4A,STREPTOZOCIN,32.0
TUBB2A,STREPTOZOCIN,32.0
TUBB2B,STREPTOZOCIN,32.0
TUBB4B,STREPTOZOCIN,32.0
TUBB3,STREPTOZOCIN,36.0
YES1,STREPTOZOCIN,36.0
AKT1,STREPTOZOCIN,44.0
TUBB1,STREPTOZOCIN,44.0
MET,STREPTOZOCIN,56.0
PTEN,STREPTOZOCIN,76.0
TYMS,STREPTOZOCIN,84.0
PIK3CA,STREPTOZOCIN,100.0
KRAS,STREPTOZOCIN,116.0
ACTB,BOSUTINIB,4.0
PRKD3,BOSUTINIB,4.0
AKT2,BOSUTINIB,8.0
UGT1A4,BOSUTINIB,8.0
UGT1A5,BOSUTINIB,8.0
SFTPA1,BOSUTINIB,8.0
PTPRC,BOSUTINIB,8.0
TSC1,BOSUTINIB,8.0
PIK3CB,BOSUTINIB,8.0
BTK,BOSUTINIB,8.0
LIMK1,BOSUTINIB,12.0
UGT1A8,BOSUTINIB,12.0
UGT1A6,BOSUTINIB,12.0
PIK3R2,BOSUTINIB,12.0
ATXN2,BOSUTINIB,12.0
FYN,BOSUTINIB,16.0
ATP7A,BOSUTINIB,16.0
NQO1,BOSUTINIB,20.0
PIK3CG,BOSUTINIB,20.0
JAK2,BOSUTINIB,20.0
LCK,BOSUTINIB,20.0
TUBA3C,BOSUTINIB,24.0
NRAS,BOSUTINIB,24.0
MTOR,BOSUTINIB,24.0
TUBB4A,BOSUTINIB,24.0
LYN,BOSUTINIB,28.0
HRAS,BOSUTINIB,32.0
UGT1A1,BOSUTINIB,32.0
TUBA3E,BOSUTINIB,32.0
TUBA3D,BOSUTINIB,32.0
TUBA1C,BOSUTINIB,32.0
TUBA1B,BOSUTINIB,32.0
TUBA1A,BOSUTINIB,32.0
SRC,BOSUTINIB,32.0
TUBB8,BOSUTINIB,32.0
TUBB6,BOSUTINIB,32.0
TUBA4A,BOSUTINIB,32.0
TUBB2A,BOSUTINIB,32.0
TUBB2B,BOSUTINIB,32.0
TUBB4B,BOSUTINIB,32.0
TUBB3,BOSUTINIB,36.0
YES1,BOSUTINIB,36.0
AKT1,BOSUTINIB,44.0
TUBB1,BOSUTINIB,44.0
MET,BOSUTINIB,56.0
PTEN,BOSUTINIB,76.0
TYMS,BOSUTINIB,84.0
PIK3CA,BOSUTINIB,100.0
KRAS,BOSUTINIB,116.0
ACTB,TOPOTECAN,4.0
PRKD3,TOPOTECAN,4.0
AKT2,TOPOTECAN,8.0
UGT1A4,TOPOTECAN,8.0
UGT1A5,TOPOTECAN,8.0
SFTPA1,TOPOTECAN,8.0
PTPRC,TOPOTECAN,8.0
TSC1,TOPOTECAN,8.0
PIK3CB,TOPOTECAN,8.0
BTK,TOPOTECAN,8.0
LIMK1,TOPOTECAN,12.0
UGT1A8,TOPOTECAN,12.0
UGT1A6,TOPOTECAN,12.0
PIK3R2,TOPOTECAN,12.0
ATXN2,TOPOTECAN,12.0
FYN,TOPOTECAN,16.0
ATP7A,TOPOTECAN,16.0
NQO1,TOPOTECAN,20.0
PIK3CG,TOPOTECAN,20.0
JAK2,TOPOTECAN,20.0
LCK,TOPOTECAN,20.0
TUBA3C,TOPOTECAN,24.0
NRAS,TOPOTECAN,24.0
MTOR,TOPOTECAN,24.0
TUBB4A,TOPOTECAN,24.0
LYN,TOPOTECAN,28.0
HRAS,TOPOTECAN,32.0
UGT1A1,TOPOTECAN,32.0
TUBA3E,TOPOTECAN,32.0
TUBA3D,TOPOTECAN,32.0
TUBA1C,TOPOTECAN,32.0
TUBA1B,TOPOTECAN,32.0
TUBA1A,TOPOTECAN,32.0
SRC,TOPOTECAN,32.0
TUBB8,TOPOTECAN,32.0
TUBB6,TOPOTECAN,32.0
TUBA4A,TOPOTECAN,32.0
TUBB2A,TOPOTECAN,32.0
TUBB2B,TOPOTECAN,32.0
TUBB4B,TOPOTECAN,32.0
TUBB3,TOPOTECAN,36.0
YES1,TOPOTECAN,36.0
AKT1,TOPOTECAN,44.0
TUBB1,TOPOTECAN,44.0
MET,TOPOTECAN,56.0
PTEN,TOPOTECAN,76.0
TYMS,TOPOTECAN,84.0
PIK3CA,TOPOTECAN,100.0
KRAS,TOPOTECAN,116.0
ACTB,OLAPARIB,5.0
PRKD3,OLAPARIB,5.0
AKT2,OLAPARIB,10.0
UGT1A4,OLAPARIB,10.0
UGT1A5,OLAPARIB,10.0
SFTPA1,OLAPARIB,10.0
PTPRC,OLAPARIB,10.0
TSC1,OLAPARIB,10.0
PIK3CB,OLAPARIB,10.0
BTK,OLAPARIB,10.0
LIMK1,OLAPARIB,15.0
UGT1A8,OLAPARIB,15.0
UGT1A6,OLAPARIB,15.0
PIK3R2,OLAPARIB,15.0
ATXN2,OLAPARIB,15.0
FYN,OLAPARIB,20.0
ATP7A,OLAPARIB,20.0
NQO1,OLAPARIB,25.0
PIK3CG,OLAPARIB,25.0
JAK2,OLAPARIB,25.0
LCK,OLAPARIB,25.0
TUBA3C,OLAPARIB,30.0
NRAS,OLAPARIB,30.0
MTOR,OLAPARIB,30.0
TUBB4A,OLAPARIB,30.0
LYN,OLAPARIB,35.0
HRAS,OLAPARIB,40.0
UGT1A1,OLAPARIB,40.0
TUBA3E,OLAPARIB,40.0
TUBA3D,OLAPARIB,40.0
TUBA1C,OLAPARIB,40.0
TUBA1B,OLAPARIB,40.0
TUBA1A,OLAPARIB,40.0
SRC,OLAPARIB,40.0
TUBB8,OLAPARIB,40.0
TUBB6,OLAPARIB,40.0
TUBA4A,OLAPARIB,40.0
TUBB2A,OLAPARIB,40.0
TUBB2B,OLAPARIB,40.0
TUBB4B,OLAPARIB,40.0
TUBB3,OLAPARIB,45.0
YES1,OLAPARIB,45.0
AKT1,OLAPARIB,55.0
TUBB1,OLAPARIB,55.0
MET,OLAPARIB,70.0
PTEN,OLAPARIB,95.0
TYMS,OLAPARIB,105.0
PIK3CA,OLAPARIB,125.0
KRAS,OLAPARIB,145.0
ACTB,IDELALISIB,5.0
PRKD3,IDELALISIB,5.0
AKT2,IDELALISIB,10.0
UGT1A4,IDELALISIB,10.0
UGT1A5,IDELALISIB,10.0
SFTPA1,IDELALISIB,10.0
PTPRC,IDELALISIB,10.0
TSC1,IDELALISIB,10.0
PIK3CB,IDELALISIB,10.0
BTK,IDELALISIB,10.0
LIMK1,IDELALISIB,15.0
UGT1A8,IDELALISIB,15.0
UGT1A6,IDELALISIB,15.0
PIK3R2,IDELALISIB,15.0
ATXN2,IDELALISIB,15.0
FYN,IDELALISIB,20.0
ATP7A,IDELALISIB,20.0
NQO1,IDELALISIB,25.0
PIK3CG,IDELALISIB,25.0
JAK2,IDELALISIB,25.0
LCK,IDELALISIB,25.0
TUBA3C,IDELALISIB,30.0
NRAS,IDELALISIB,30.0
MTOR,IDELALISIB,30.0
TUBB4A,IDELALISIB,30.0
LYN,IDELALISIB,35.0
HRAS,IDELALISIB,40.0
UGT1A1,IDELALISIB,40.0
TUBA3E,IDELALISIB,40.0
TUBA3D,IDELALISIB,40.0
TUBA1C,IDELALISIB,40.0
TUBA1B,IDELALISIB,40.0
TUBA1A,IDELALISIB,40.0
SRC,IDELALISIB,40.0
TUBB8,IDELALISIB,40.0
TUBB6,IDELALISIB,40.0
TUBA4A,IDELALISIB,40.0
TUBB2A,IDELALISIB,40.0
TUBB2B,IDELALISIB,40.0
TUBB4B,IDELALISIB,40.0
TUBB3,IDELALISIB,45.0
YES1,IDELALISIB,45.0
AKT1,IDELALISIB,55.0
TUBB1,IDELALISIB,55.0
MET,IDELALISIB,70.0
PTEN,IDELALISIB,95.0
TYMS,IDELALISIB,105.0
PIK3CA,IDELALISIB,125.0
KRAS,IDELALISIB,145.0
ACTB,DEXAMETHASONE,5.0
PRKD3,DEXAMETHASONE,5.0
AKT2,DEXAMETHASONE,10.0
UGT1A4,DEXAMETHASONE,10.0
UGT1A5,DEXAMETHASONE,10.0
SFTPA1,DEXAMETHASONE,10.0
PTPRC,DEXAMETHASONE,10.0
TSC1,DEXAMETHASONE,10.0
PIK3CB,DEXAMETHASONE,10.0
BTK,DEXAMETHASONE,10.0
LIMK1,DEXAMETHASONE,15.0
UGT1A8,DEXAMETHASONE,15.0
UGT1A6,DEXAMETHASONE,15.0
PIK3R2,DEXAMETHASONE,15.0
ATXN2,DEXAMETHASONE,15.0
FYN,DEXAMETHASONE,20.0
ATP7A,DEXAMETHASONE,20.0
NQO1,DEXAMETHASONE,25.0
PIK3CG,DEXAMETHASONE,25.0
JAK2,DEXAMETHASONE,25.0
LCK,DEXAMETHASONE,25.0
TUBA3C,DEXAMETHASONE,30.0
NRAS,DEXAMETHASONE,30.0
MTOR,DEXAMETHASONE,30.0
TUBB4A,DEXAMETHASONE,30.0
LYN,DEXAMETHASONE,35.0
HRAS,DEXAMETHASONE,40.0
UGT1A1,DEXAMETHASONE,40.0
TUBA3E,DEXAMETHASONE,40.0
TUBA3D,DEXAMETHASONE,40.0
TUBA1C,DEXAMETHASONE,40.0
TUBA1B,DEXAMETHASONE,40.0
TUBA1A,DEXAMETHASONE,40.0
SRC,DEXAMETHASONE,40.0
TUBB8,DEXAMETHASONE,40.0
TUBB6,DEXAMETHASONE,40.0
TUBA4A,DEXAMETHASONE,40.0
TUBB2A,DEXAMETHASONE,40.0
TUBB2B,DEXAMETHASONE,40.0
TUBB4B,DEXAMETHASONE,40.0
TUBB3,DEXAMETHASONE,45.0
YES1,DEXAMETHASONE,45.0
AKT1,DEXAMETHASONE,55.0
TUBB1,DEXAMETHASONE,55.0
MET,DEXAMETHASONE,70.0
PTEN,DEXAMETHASONE,95.0
TYMS,DEXAMETHASONE,105.0
PIK3CA,DEXAMETHASONE,125.0
KRAS,DEXAMETHASONE,145.0
ACTB,IRINOTECAN,6.0
PRKD3,IRINOTECAN,6.0
AKT2,IRINOTECAN,12.0
UGT1A4,IRINOTECAN,12.0
UGT1A5,IRINOTECAN,12.0
SFTPA1,IRINOTECAN,12.0
PTPRC,IRINOTECAN,12.0
TSC1,IRINOTECAN,12.0
PIK3CB,IRINOTECAN,12.0
BTK,IRINOTECAN,12.0
LIMK1,IRINOTECAN,18.0
UGT1A8,IRINOTECAN,18.0
UGT1A6,IRINOTECAN,18.0
PIK3R2,IRINOTECAN,18.0
ATXN2,IRINOTECAN,18.0
FYN,IRINOTECAN,24.0
ATP7A,IRINOTECAN,24.0
NQO1,IRINOTECAN,30.0
PIK3CG,IRINOTECAN,30.0
JAK2,IRINOTECAN,30.0
LCK,IRINOTECAN,30.0
TUBA3C,IRINOTECAN,36.0
NRAS,IRINOTECAN,36.0
MTOR,IRINOTECAN,36.0
TUBB4A,IRINOTECAN,36.0
LYN,IRINOTECAN,42.0
HRAS,IRINOTECAN,48.0
UGT1A1,IRINOTECAN,48.0
TUBA3E,IRINOTECAN,48.0
TUBA3D,IRINOTECAN,48.0
TUBA1C,IRINOTECAN,48.0
TUBA1B,IRINOTECAN,48.0
TUBA1A,IRINOTECAN,48.0
SRC,IRINOTECAN,48.0
TUBB8,IRINOTECAN,48.0
TUBB6,IRINOTECAN,48.0
TUBA4A,IRINOTECAN,48.0
TUBB2A,IRINOTECAN,48.0
TUBB2B,IRINOTECAN,48.0
TUBB4B,IRINOTECAN,48.0
TUBB3,IRINOTECAN,54.0
YES1,IRINOTECAN,54.0
AKT1,IRINOTECAN,66.0
TUBB1,IRINOTECAN,66.0
MET,IRINOTECAN,84.0
PTEN,IRINOTECAN,114.0
TYMS,IRINOTECAN,126.0
PIK3CA,IRINOTECAN,150.0
KRAS,IRINOTECAN,174.0
ACTB,CAPECITABINE,6.0
PRKD3,CAPECITABINE,6.0
AKT2,CAPECITABINE,12.0
UGT1A4,CAPECITABINE,12.0
UGT1A5,CAPECITABINE,12.0
SFTPA1,CAPECITABINE,12.0
PTPRC,CAPECITABINE,12.0
TSC1,CAPECITABINE,12.0
PIK3CB,CAPECITABINE,12.0
BTK,CAPECITABINE,12.0
LIMK1,CAPECITABINE,18.0
UGT1A8,CAPECITABINE,18.0
UGT1A6,CAPECITABINE,18.0
PIK3R2,CAPECITABINE,18.0
ATXN2,CAPECITABINE,18.0
FYN,CAPECITABINE,24.0
ATP7A,CAPECITABINE,24.0
NQO1,CAPECITABINE,30.0
PIK3CG,CAPECITABINE,30.0
JAK2,CAPECITABINE,30.0
LCK,CAPECITABINE,30.0
TUBA3C,CAPECITABINE,36.0
NRAS,CAPECITABINE,36.0
MTOR,CAPECITABINE,36.0
TUBB4A,CAPECITABINE,36.0
LYN,CAPECITABINE,42.0
HRAS,CAPECITABINE,48.0
UGT1A1,CAPECITABINE,48.0
TUBA3E,CAPECITABINE,48.0
TUBA3D,CAPECITABINE,48.0
TUBA1C,CAPECITABINE,48.0
TUBA1B,CAPECITABINE,48.0
TUBA1A,CAPECITABINE,48.0
SRC,CAPECITABINE,48.0
TUBB8,CAPECITABINE,48.0
TUBB6,CAPECITABINE,48.0
TUBA4A,CAPECITABINE,48.0
TUBB2A,CAPECITABINE,48.0
TUBB2B,CAPECITABINE,48.0
TUBB4B,CAPECITABINE,48.0
TUBB3,CAPECITABINE,54.0
YES1,CAPECITABINE,54.0
AKT1,CAPECITABINE,66.0
TUBB1,CAPECITABINE,66.0
MET,CAPECITABINE,84.0
PTEN,CAPECITABINE,114.0
TYMS,CAPECITABINE,126.0
PIK3CA,CAPECITABINE,150.0
KRAS,CAPECITABINE,174.0
ACTB,BEVACIZUMAB,6.0
PRKD3,BEVACIZUMAB,6.0
AKT2,BEVACIZUMAB,12.0
UGT1A4,BEVACIZUMAB,12.0
UGT1A5,BEVACIZUMAB,12.0
SFTPA1,BEVACIZUMAB,12.0
PTPRC,BEVACIZUMAB,12.0
TSC1,BEVACIZUMAB,12.0
PIK3CB,BEVACIZUMAB,12.0
BTK,BEVACIZUMAB,12.0
LIMK1,BEVACIZUMAB,18.0
UGT1A8,BEVACIZUMAB,18.0
UGT1A6,BEVACIZUMAB,18.0
PIK3R2,BEVACIZUMAB,18.0
ATXN2,BEVACIZUMAB,18.0
FYN,BEVACIZUMAB,24.0
ATP7A,BEVACIZUMAB,24.0
NQO1,BEVACIZUMAB,30.0
PIK3CG,BEVACIZUMAB,30.0
JAK2,BEVACIZUMAB,30.0
LCK,BEVACIZUMAB,30.0
TUBA3C,BEVACIZUMAB,36.0
NRAS,BEVACIZUMAB,36.0
MTOR,BEVACIZUMAB,36.0
TUBB4A,BEVACIZUMAB,36.0
LYN,BEVACIZUMAB,42.0
HRAS,BEVACIZUMAB,48.0
UGT1A1,BEVACIZUMAB,48.0
TUBA3E,BEVACIZUMAB,48.0
TUBA3D,BEVACIZUMAB,48.0
TUBA1C,BEVACIZUMAB,48.0
TUBA1B,BEVACIZUMAB,48.0
TUBA1A,BEVACIZUMAB,48.0
SRC,BEVACIZUMAB,48.0
TUBB8,BEVACIZUMAB,48.0
TUBB6,BEVACIZUMAB,48.0
TUBA4A,BEVACIZUMAB,48.0
TUBB2A,BEVACIZUMAB,48.0
TUBB2B,BEVACIZUMAB,48.0
TUBB4B,BEVACIZUMAB,48.0
TUBB3,BEVACIZUMAB,54.0
YES1,BEVACIZUMAB,54.0
AKT1,BEVACIZUMAB,66.0
TUBB1,BEVACIZUMAB,66.0
MET,BEVACIZUMAB,84.0
PTEN,BEVACIZUMAB,114.0
TYMS,BEVACIZUMAB,126.0
PIK3CA,BEVACIZUMAB,150.0
KRAS,BEVACIZUMAB,174.0
ACTB,TRASTUZUMAB,6.0
PRKD3,TRASTUZUMAB,6.0
AKT2,TRASTUZUMAB,12.0
UGT1A4,TRASTUZUMAB,12.0
UGT1A5,TRASTUZUMAB,12.0
SFTPA1,TRASTUZUMAB,12.0
PTPRC,TRASTUZUMAB,12.0
TSC1,TRASTUZUMAB,12.0
PIK3CB,TRASTUZUMAB,12.0
BTK,TRASTUZUMAB,12.0
LIMK1,TRASTUZUMAB,18.0
UGT1A8,TRASTUZUMAB,18.0
UGT1A6,TRASTUZUMAB,18.0
PIK3R2,TRASTUZUMAB,18.0
ATXN2,TRASTUZUMAB,18.0
FYN,TRASTUZUMAB,24.0
ATP7A,TRASTUZUMAB,24.0
NQO1,TRASTUZUMAB,30.0
PIK3CG,TRASTUZUMAB,30.0
JAK2,TRASTUZUMAB,30.0
LCK,TRASTUZUMAB,30.0
TUBA3C,TRASTUZUMAB,36.0
NRAS,TRASTUZUMAB,36.0
MTOR,TRASTUZUMAB,36.0
TUBB4A,TRASTUZUMAB,36.0
LYN,TRASTUZUMAB,42.0
HRAS,TRASTUZUMAB,48.0
UGT1A1,TRASTUZUMAB,48.0
TUBA3E,TRASTUZUMAB,48.0
TUBA3D,TRASTUZUMAB,48.0
TUBA1C,TRASTUZUMAB,48.0
TUBA1B,TRASTUZUMAB,48.0
TUBA1A,TRASTUZUMAB,48.0
SRC,TRASTUZUMAB,48.0
TUBB8,TRASTUZUMAB,48.0
TUBB6,TRASTUZUMAB,48.0
TUBA4A,TRASTUZUMAB,48.0
TUBB2A,TRASTUZUMAB,48.0
TUBB2B,TRASTUZUMAB,48.0
TUBB4B,TRASTUZUMAB,48.0
TUBB3,TRASTUZUMAB,54.0
YES1,TRASTUZUMAB,54.0
AKT1,TRASTUZUMAB,66.0
TUBB1,TRASTUZUMAB,66.0
MET,TRASTUZUMAB,84.0
PTEN,TRASTUZUMAB,114.0
TYMS,TRASTUZUMAB,126.0
PIK3CA,TRASTUZUMAB,150.0
KRAS,TRASTUZUMAB,174.0
ACTB,OXALIPLATIN,6.0
PRKD3,OXALIPLATIN,6.0
AKT2,OXALIPLATIN,12.0
UGT1A4,OXALIPLATIN,12.0
UGT1A5,OXALIPLATIN,12.0
SFTPA1,OXALIPLATIN,12.0
PTPRC,OXALIPLATIN,12.0
TSC1,OXALIPLATIN,12.0
PIK3CB,OXALIPLATIN,12.0
BTK,OXALIPLATIN,12.0
LIMK1,OXALIPLATIN,18.0
UGT1A8,OXALIPLATIN,18.0
UGT1A6,OXALIPLATIN,18.0
PIK3R2,OXALIPLATIN,18.0
ATXN2,OXALIPLATIN,18.0
FYN,OXALIPLATIN,24.0
ATP7A,OXALIPLATIN,24.0
NQO1,OXALIPLATIN,30.0
PIK3CG,OXALIPLATIN,30.0
JAK2,OXALIPLATIN,30.0
LCK,OXALIPLATIN,30.0
TUBA3C,OXALIPLATIN,36.0
NRAS,OXALIPLATIN,36.0
MTOR,OXALIPLATIN,36.0
TUBB4A,OXALIPLATIN,36.0
LYN,OXALIPLATIN,42.0
HRAS,OXALIPLATIN,48.0
UGT1A1,OXALIPLATIN,48.0
TUBA3E,OXALIPLATIN,48.0
TUBA3D,OXALIPLATIN,48.0
TUBA1C,OXALIPLATIN,48.0
TUBA1B,OXALIPLATIN,48.0
TUBA1A,OXALIPLATIN,48.0
SRC,OXALIPLATIN,48.0
TUBB8,OXALIPLATIN,48.0
TUBB6,OXALIPLATIN,48.0
TUBA4A,OXALIPLATIN,48.0
TUBB2A,OXALIPLATIN,48.0
TUBB2B,OXALIPLATIN,48.0
TUBB4B,OXALIPLATIN,48.0
TUBB3,OXALIPLATIN,54.0
YES1,OXALIPLATIN,54.0
AKT1,OXALIPLATIN,66.0
TUBB1,OXALIPLATIN,66.0
MET,OXALIPLATIN,84.0
PTEN,OXALIPLATIN,114.0
TYMS,OXALIPLATIN,126.0
PIK3CA,OXALIPLATIN,150.0
KRAS,OXALIPLATIN,174.0
ACTB,TEMSIROLIMUS,6.0
PRKD3,TEMSIROLIMUS,6.0
AKT2,TEMSIROLIMUS,12.0
UGT1A4,TEMSIROLIMUS,12.0
UGT1A5,TEMSIROLIMUS,12.0
SFTPA1,TEMSIROLIMUS,12.0
PTPRC,TEMSIROLIMUS,12.0
TSC1,TEMSIROLIMUS,12.0
PIK3CB,TEMSIROLIMUS,12.0
BTK,TEMSIROLIMUS,12.0
LIMK1,TEMSIROLIMUS,18.0
UGT1A8,TEMSIROLIMUS,18.0
UGT1A6,TEMSIROLIMUS,18.0
PIK3R2,TEMSIROLIMUS,18.0
ATXN2,TEMSIROLIMUS,18.0
FYN,TEMSIROLIMUS,24.0
ATP7A,TEMSIROLIMUS,24.0
NQO1,TEMSIROLIMUS,30.0
PIK3CG,TEMSIROLIMUS,30.0
JAK2,TEMSIROLIMUS,30.0
LCK,TEMSIROLIMUS,30.0
TUBA3C,TEMSIROLIMUS,36.0
NRAS,TEMSIROLIMUS,36.0
MTOR,TEMSIROLIMUS,36.0
TUBB4A,TEMSIROLIMUS,36.0
LYN,TEMSIROLIMUS,42.0
HRAS,TEMSIROLIMUS,48.0
UGT1A1,TEMSIROLIMUS,48.0
TUBA3E,TEMSIROLIMUS,48.0
TUBA3D,TEMSIROLIMUS,48.0
TUBA1C,TEMSIROLIMUS,48.0
TUBA1B,TEMSIROLIMUS,48.0
TUBA1A,TEMSIROLIMUS,48.0
SRC,TEMSIROLIMUS,48.0
TUBB8,TEMSIROLIMUS,48.0
TUBB6,TEMSIROLIMUS,48.0
TUBA4A,TEMSIROLIMUS,48.0
TUBB2A,TEMSIROLIMUS,48.0
TUBB2B,TEMSIROLIMUS,48.0
TUBB4B,TEMSIROLIMUS,48.0
TUBB3,TEMSIROLIMUS,54.0
YES1,TEMSIROLIMUS,54.0
AKT1,TEMSIROLIMUS,66.0
TUBB1,TEMSIROLIMUS,66.0
MET,TEMSIROLIMUS,84.0
PTEN,TEMSIROLIMUS,114.0
TYMS,TEMSIROLIMUS,126.0
PIK3CA,TEMSIROLIMUS,150.0
KRAS,TEMSIROLIMUS,174.0
ACTB,DOCETAXEL,7.0
PRKD3,DOCETAXEL,7.0
AKT2,DOCETAXEL,14.0
UGT1A4,DOCETAXEL,14.0
UGT1A5,DOCETAXEL,14.0
SFTPA1,DOCETAXEL,14.0
PTPRC,DOCETAXEL,14.0
TSC1,DOCETAXEL,14.0
PIK3CB,DOCETAXEL,14.0
BTK,DOCETAXEL,14.0
LIMK1,DOCETAXEL,21.0
UGT1A8,DOCETAXEL,21.0
UGT1A6,DOCETAXEL,21.0
PIK3R2,DOCETAXEL,21.0
ATXN2,DOCETAXEL,21.0
FYN,DOCETAXEL,28.0
ATP7A,DOCETAXEL,28.0
NQO1,DOCETAXEL,35.0
PIK3CG,DOCETAXEL,35.0
JAK2,DOCETAXEL,35.0
LCK,DOCETAXEL,35.0
TUBA3C,DOCETAXEL,42.0
NRAS,DOCETAXEL,42.0
MTOR,DOCETAXEL,42.0
TUBB4A,DOCETAXEL,42.0
LYN,DOCETAXEL,49.0
HRAS,DOCETAXEL,56.0
UGT1A1,DOCETAXEL,56.0
TUBA3E,DOCETAXEL,56.0
TUBA3D,DOCETAXEL,56.0
TUBA1C,DOCETAXEL,56.0
TUBA1B,DOCETAXEL,56.0
TUBA1A,DOCETAXEL,56.0
SRC,DOCETAXEL,56.0
TUBB8,DOCETAXEL,56.0
TUBB6,DOCETAXEL,56.0
TUBA4A,DOCETAXEL,56.0
TUBB2A,DOCETAXEL,56.0
TUBB2B,DOCETAXEL,56.0
TUBB4B,DOCETAXEL,56.0
TUBB3,DOCETAXEL,63.0
YES1,DOCETAXEL,63.0
AKT1,DOCETAXEL,77.0
TUBB1,DOCETAXEL,77.0
MET,DOCETAXEL,98.0
PTEN,DOCETAXEL,133.0
TYMS,DOCETAXEL,147.0
PIK3CA,DOCETAXEL,175.0
KRAS,DOCETAXEL,203.0
ACTB,PONATINIB,8.0
PRKD3,PONATINIB,8.0
AKT2,PONATINIB,16.0
UGT1A4,PONATINIB,16.0
UGT1A5,PONATINIB,16.0
SFTPA1,PONATINIB,16.0
PTPRC,PONATINIB,16.0
TSC1,PONATINIB,16.0
PIK3CB,PONATINIB,16.0
BTK,PONATINIB,16.0
LIMK1,PONATINIB,24.0
UGT1A8,PONATINIB,24.0
UGT1A6,PONATINIB,24.0
PIK3R2,PONATINIB,24.0
ATXN2,PONATINIB,24.0
FYN,PONATINIB,32.0
ATP7A,PONATINIB,32.0
NQO1,PONATINIB,40.0
PIK3CG,PONATINIB,40.0
JAK2,PONATINIB,40.0
LCK,PONATINIB,40.0
TUBA3C,PONATINIB,48.0
NRAS,PONATINIB,48.0
MTOR,PONATINIB,48.0
TUBB4A,PONATINIB,48.0
LYN,PONATINIB,56.0
HRAS,PONATINIB,64.0
UGT1A1,PONATINIB,64.0
TUBA3E,PONATINIB,64.0
TUBA3D,PONATINIB,64.0
TUBA1C,PONATINIB,64.0
TUBA1B,PONATINIB,64.0
TUBA1A,PONATINIB,64.0
SRC,PONATINIB,64.0
TUBB8,PONATINIB,64.0
TUBB6,PONATINIB,64.0
TUBA4A,PONATINIB,64.0
TUBB2A,PONATINIB,64.0
TUBB2B,PONATINIB,64.0
TUBB4B,PONATINIB,64.0
TUBB3,PONATINIB,72.0
YES1,PONATINIB,72.0
AKT1,PONATINIB,88.0
TUBB1,PONATINIB,88.0
MET,PONATINIB,112.0
PTEN,PONATINIB,152.0
TYMS,PONATINIB,168.0
PIK3CA,PONATINIB,200.0
KRAS,PONATINIB,232.0
ACTB,DOXORUBICIN,8.0
PRKD3,DOXORUBICIN,8.0
AKT2,DOXORUBICIN,16.0
UGT1A4,DOXORUBICIN,16.0
UGT1A5,DOXORUBICIN,16.0
SFTPA1,DOXORUBICIN,16.0
PTPRC,DOXORUBICIN,16.0
TSC1,DOXORUBICIN,16.0
PIK3CB,DOXORUBICIN,16.0
BTK,DOXORUBICIN,16.0
LIMK1,DOXORUBICIN,24.0
UGT1A8,DOXORUBICIN,24.0
UGT1A6,DOXORUBICIN,24.0
PIK3R2,DOXORUBICIN,24.0
ATXN2,DOXORUBICIN,24.0
FYN,DOXORUBICIN,32.0
ATP7A,DOXORUBICIN,32.0
NQO1,DOXORUBICIN,40.0
PIK3CG,DOXORUBICIN,40.0
JAK2,DOXORUBICIN,40.0
LCK,DOXORUBICIN,40.0
TUBA3C,DOXORUBICIN,48.0
NRAS,DOXORUBICIN,48.0
MTOR,DOXORUBICIN,48.0
TUBB4A,DOXORUBICIN,48.0
LYN,DOXORUBICIN,56.0
HRAS,DOXORUBICIN,64.0
UGT1A1,DOXORUBICIN,64.0
TUBA3E,DOXORUBICIN,64.0
TUBA3D,DOXORUBICIN,64.0
TUBA1C,DOXORUBICIN,64.0
TUBA1B,DOXORUBICIN,64.0
TUBA1A,DOXORUBICIN,64.0
SRC,DOXORUBICIN,64.0
TUBB8,DOXORUBICIN,64.0
TUBB6,DOXORUBICIN,64.0
TUBA4A,DOXORUBICIN,64.0
TUBB2A,DOXORUBICIN,64.0
TUBB2B,DOXORUBICIN,64.0
TUBB4B,DOXORUBICIN,64.0
TUBB3,DOXORUBICIN,72.0
YES1,DOXORUBICIN,72.0
AKT1,DOXORUBICIN,88.0
TUBB1,DOXORUBICIN,88.0
MET,DOXORUBICIN,112.0
PTEN,DOXORUBICIN,152.0
TYMS,DOXORUBICIN,168.0
PIK3CA,DOXORUBICIN,200.0
KRAS,DOXORUBICIN,232.0
ACTB,IMATINIB,8.0
PRKD3,IMATINIB,8.0
AKT2,IMATINIB,16.0
